,PB23-220608-131619,PB24-220608-122638,PB33-220620-115414,PB39-220629-105034,PB391-220829-111452,PB44-220829-121005,PB61-221024-110730,PB62-221024-120029,PB64-221024-143444,PB70-221024-134346,PB23-220601-142444,PB24-220601-133332,PB33-220614-133339,PB39-220627-104923,PB391-220826-104731,PB44-220826-113745,PB61-221022-094209,PB62-221022-103215,PB64-221022-112221,PB70-221022-121226,PB39-220705-114000,PB391-220902-105101,PB44-220902-114732,PB61-221027-091856,PB62-221027-100635,PB70-221027-114604,PB23-220603-132442,PB24-220603-123453,PB33-220616-112230,PB26-220608-113244,PB27-220608-104154,PB30-220620-100529,PB31-220620-105832,PB46-220926-133715,PB48-220926-121542,PB71-221123-113609,PB72-221123-122441,PB73-221123-131413,PB75-221123-140659,PB26-220601-113859,PB27-220601-104408,PB30-220614-104707,PB31-220614-113720,PB46-220922-132610,PB48-220922-123633,PB71-221121-112814,PB72-221121-121640,PB73-221121-130541,PB75-221121-144718,PB46-220930-111138,PB48-220930-120525,PB71-221130-125512,PB72-221130-134630,PB26-220603-105230,PB27-220603-100206,PB30-220616-092859,PB31-220616-101753
10,585.81925888,550.8554752,575.53944576,603.04031744,603.59540736,570.13895168,612.24501248,568.20891648,595.45468928,563.72641792,581.0274304,591.1724032,609.64028416,602.33629696,551.11401472,588.98825216,582.51313152,587.06624512,585.84481792,584.96008192,574.88867328,577.93347584,566.480896,541.90997504,598.85600768,545.04554496,565.858304,585.81024768,561.46935808,562.31084032,559.24260864,578.2806528,536.07579648,555.84309248,543.52969728,556.53318656,551.04405504,544.61415424,592.39251968,581.76323584,557.08516352,571.01582336,525.41636608,581.0683904,587.239424,580.64420864,561.59862784,586.1523456,608.00090112,566.11045376,590.8856832,591.4181632,581.23681792,538.45065728,576.58228736,576.50266112,565.48753408
11,640.82886656,600.86534144,625.54882048,648.05011456,663.60508416,615.14858496,672.25468928,618.21845504,650.46413312,613.73612032,641.03694336,651.18191616,669.64979712,657.34590464,611.12369152,648.99792896,632.52283392,632.07604224,645.85449472,629.96987904,634.89818624,627.9430144,616.49043456,591.91967744,643.86564096,595.05524736,625.8679808,640.81985536,606.47899136,612.32054272,619.25228544,633.29026048,591.08524032,610.85253632,593.53939968,601.54281984,606.05366272,604.6236672,642.40222208,636.77284352,617.09467648,616.02545664,570.4261632,631.07792896,632.24889344,625.65400576,606.60842496,641.16178944,658.01060352,611.12025088,635.89515264,646.42777088,636.24658944,598.46017024,621.59208448,636.51233792,625.49704704
12,685.83866368,645.87497472,680.55842816,703.0595584,713.61462272,675.15809792,727.26413312,663.22808832,700.47383552,668.74556416,701.04662016,696.19154944,724.6594048,702.35553792,661.13306624,709.00744192,687.5324416,687.08564992,700.86393856,679.97958144,689.90763008,677.9527168,671.50004224,646.92912128,693.87517952,650.0646912,685.8776576,695.82946304,666.48866816,667.32998656,674.26205696,693.29993728,651.09491712,660.86223872,638.5491968,656.55242752,651.063296,659.63327488,692.4115968,691.78228736,672.104448,666.0349952,620.4358656,676.08772608,687.25866496,670.66363904,656.61779968,691.171328,713.02037504,666.12985856,695.90499328,706.43728384,696.2561024,648.46987264,681.60159744,686.52204032,670.50684416
13,745.84817664,695.88467712,725.56822528,753.06942464,768.62406656,735.16761088,777.27383552,708.2377216,745.4834688,728.75524096,756.05622784,746.20125184,784.66891776,762.36505088,716.14267392,764.01688576,742.54204928,732.0952832,750.87364096,724.98921472,739.91733248,732.96216064,731.5095552,706.93879808,743.88488192,705.07429888,740.88710144,750.83907072,716.49837056,727.33966336,734.27156992,743.30947584,711.10426624,705.87203584,688.55873536,711.5620352,711.07280896,704.64290816,752.42110976,751.79180032,727.11405568,721.04460288,665.44549888,731.09716992,747.26801408,730.673152,706.62766592,741.1810304,758.02968064,721.1393024,750.91460096,761.44689152,741.26573568,708.4793856,726.61139456,731.5316736,720.51621888
14,805.8576896,750.89412096,770.5780224,798.07889408,813.63386368,780.17708032,837.28334848,768.2473984,795.49300736,783.7646848,811.06583552,796.2107904,844.67859456,812.37475328,771.1522816,814.02658816,802.55156224,792.10496,810.88315392,774.99891712,794.92677632,787.97193216,776.51902464,761.9485696,793.89458432,765.08397568,785.89673472,810.84858368,766.50774528,782.34943488,789.2811776,788.31910912,766.11403776,760.88164352,733.56853248,761.5717376,766.08241664,759.65267968,812.43078656,811.80131328,787.12356864,776.0543744,710.45513216,781.10687232,807.27752704,780.6828544,756.63720448,801.19054336,818.03935744,771.1490048,795.9240704,821.45656832,796.27534336,763.48915712,776.62093312,776.54130688,775.5259904
15,850.86748672,810.90363392,830.58753536,848.08859648,863.6432384,840.18642944,897.29302528,823.25684224,855.50268416,838.77412864,871.07534848,846.22032896,889.68822784,872.38443008,826.16188928,874.03610112,847.56135936,852.1146368,865.8927616,835.00826624,844.93647872,842.98153984,831.52863232,811.95794432,848.904192,820.09341952,840.90650624,855.8583808,811.5175424,832.35897344,844.29078528,848.32878592,811.12367104,805.8912768,783.5779072,821.58125056,821.09202432,814.66228736,872.44029952,856.8111104,847.1330816,826.06391296,755.46476544,841.11638528,862.28713472,830.69239296,816.64671744,856.1999872,863.04899072,826.15877632,845.9337728,871.46627072,856.28485632,813.49869568,821.63073024,826.55084544,835.53550336
16,900.87702528,865.91340544,880.59723776,898.09829888,923.65275136,885.19622656,952.30246912,873.2663808,910.51229184,898.78396928,926.08495616,906.23000576,944.69783552,927.39387392,876.17159168,934.04577792,897.57089792,902.12417536,910.90255872,880.01806336,894.94601728,892.99091456,891.53830912,866.96771584,908.9138688,880.10293248,900.9160192,915.86789376,856.52717568,887.36858112,889.30041856,908.33846272,861.1332096,855.9009792,833.5876096,876.59085824,881.10170112,869.6717312,922.45000192,916.82062336,897.142784,876.07361536,815.47444224,896.12599296,917.2967424,890.70206976,871.65632512,906.20985344,913.05869312,876.16831488,905.94328576,926.47571456,911.294464,863.50839808,871.64043264,881.56061696,890.54527488
17,950.88672768,915.922944,940.60658688,948.10783744,983.66226432,935.20576512,1002.31200768,933.2760576,965.52173568,943.79343872,976.09465856,951.23963904,989.70730496,977.40357632,926.18129408,984.05531648,942.58069504,947.13380864,970.91207168,935.02783488,949.95562496,948.00068608,951.54765824,916.97741824,963.92331264,940.11260928,955.92562688,975.87757056,901.53680896,937.37828352,934.31005184,953.34793216,921.1428864,905.9106816,883.597312,921.60049152,941.11121408,914.68120064,967.4596352,971.83023104,952.15239168,931.0830592,860.48407552,941.13562624,977.3064192,935.71170304,926.6659328,951.21932288,973.06820608,936.17782784,955.95298816,976.48541696,961.3041664,913.51793664,931.6499456,936.5700608,940.55481344
18,1010.89624064,975.9326208,995.6163584,1008.1173504,1038.67170816,990.21520896,1047.32164096,978.28585472,1015.53143808,993.80314112,1031.1041024,1011.24931584,1049.7171456,1037.41325312,981.19073792,1034.06485504,997.59030272,1002.14341632,1030.92158464,985.03737344,999.96516352,1008.01019904,996.55729152,971.98718976,1008.93310976,995.1223808,1010.93523456,1025.88710912,951.54651136,992.38772736,979.31984896,1008.35753984,981.15223552,950.92031488,938.60691968,981.61016832,986.12084736,959.69099776,1017.46917376,1031.83990784,1007.16199936,981.0927616,905.4937088,986.14542336,1022.31605248,995.721216,986.67544576,996.22912,1033.07771904,996.18750464,1000.96262144,1031.49502464,1006.31379968,958.52773376,986.65955328,991.57966848,1000.5643264
19,1055.90603776,1025.9423232,1050.62580224,1053.12698368,1098.68122112,1040.22474752,1092.33127424,1033.29529856,1075.54095104,1038.8127744,1081.11396864,1061.2588544,1109.72665856,1087.42279168,1036.2003456,1079.07448832,1057.59965184,1047.1530496,1075.93138176,1040.04681728,1044.9747968,1053.01966848,1046.56699392,1021.99672832,1063.9425536,1050.13198848,1060.94493696,1080.8967168,1001.55604992,1052.39724032,1024.32948224,1053.36717312,1031.16210176,1010.92982784,993.61652736,1041.62967552,1046.13036032,1019.70051072,1067.47887616,1086.84951552,1057.1718656,1036.10236928,960.50348032,1046.15477248,1077.32549632,1055.73072896,1036.68498432,1051.23856384,1083.0872576,1056.19718144,1055.97222912,1091.50470144,1056.32350208,1003.53736704,1031.6693504,1046.58944,1055.57393408
